Brand Name,Product Name,Rating,Rating Count,Selling Price,MRP,Offer
Fastrack,Party Analog Silver Dial Men's Watch-NL1474SM01/NP1474SM01,4.0 out of 5 stars,"2,625",£33.20,na,na
Matrix,Minimalist Grey Dial with Softest Silicone Strap Analog Wrist Watch for Men & Boys,4.6 out of 5 stars,15,£3.79,£18.99,(80% off)
Fastrack,Fastrack Stunners Quartz Analog Peacock Green Dial Brown Leather Strap Watch for Guys - 3278SL03,4.3 out of 5 stars,271,£13.25,na,na
Titan,Men's Strap Watch (Black),4.2 out of 5 stars,"1,053",£17.05,£18.95,(10% off)
Titan,Analog Brown Dial Men's Watch NM1584SL04/NN1584SL04/NP1584SL04,4.2 out of 5 stars,"1,068",£22.75,£28.45,(20% off)
Titan,Gents Karishma Analog Brown Dial Men's Watch NM1824KM01/NN1824KM01,4.2 out of 5 stars,224,£32.25,£40.33,(20% off)
Fossil,Fossil Chronograph Black Dial and Band Men's Stainless Steel Watch-BQ2364,4.1 out of 5 stars,"1,632",£71.21,£118.70,(40% off)
Casio,Youth Digital Analog-Digital Black Dial Men's Watch - HDC-700-3AVDF (D155),4.2 out of 5 stars,718,£37.95,na,na
Fastrack,Vyb Arcane Quartz Analog Black Dial Watch for Men,5.0 out of 5 stars,2,£19.87,£28.40,(30% off)
Fastrack,Analog Silver Dial Men's Watch-NM38017PL02 / NL38017PL02/NP38017PL02,3.9 out of 5 stars,"1,041",£23.37,£27.50,(15% off)
Casio,Youth-Combination Analog-Digital Black Dial Men's Watch - AEQ-110W-2AVDF (AD208),4.3 out of 5 stars,833,£31.30,na,na
Noise,"Noise Vortex Plus 1.46 AMOLED Display, AoD, BT Calling, Sleek Metal Finish, 7 Days Battery Life, All New OS with 100+ Watch Faces & Health Suite (Black)",4.0 out of 5 stars,"53,884",£20.89,£66.49,(69% off)
Fastrack,"Fastrack Limitless Glide X 1.83"" Smart Watch with Ultra UV HD Display, SpO2, Heart Rate & Sleep Tracking, Bluetooth Calling, 100+ Sports Modes, 5-Day Battery, Smartwatch for Men & Women (Beige)",3.8 out of 5 stars,"4,328",£14.23,£26.59,(46% off)
Fossil,Fossil Analog Off-White Dial Brown Band Men's Stainless Steel Watch-FS5380,4.5 out of 5 stars,"1,432",£118.70,£123.45,(4% off)
Shocknshop,Silver Stainless Steel Analog Square Dial Date Display Wrist Watch for Men -PGNI85,3.7 out of 5 stars,275,£4.04,£18.52,(78% off)
Casio,Enticer Men MTP-1374D-2A3VDF Analog Blue Dial Men (A2346),4.8 out of 5 stars,5,£56.95,na,na
Fastrack,Fastrack Vyb Quartz Analog Silver Dial Steel Sheet Metal Strap Watch for Men-FV30002SM01W,4.3 out of 5 stars,30,£13.53,£19.33,(30% off)
Fastrack,Fastfit Analog Black Dial Men's Watch-3224NL01/NP3224NL01,4.2 out of 5 stars,188,£38.71,£48.40,(20% off)
V2A,Chronograph Ultra-Thin Unisex Multi Function Digital Sports Watch for Boy ANG Girls | Watch for Women | Wrist Watch for Men | Kid's Watch | Watches,3.9 out of 5 stars,"1,832",£5.69,£14.24,(60% off)
Titan,Karishma Quartz Analog Silver Dial Leather Strap Watch for Men-1825SL15/NT1825SL15,4.1 out of 5 stars,31,£30.07,na,na
Fastrack,Fastfit Quartz Multifunction White Dial Stainless Steel Strap Watch for Guys - NT3227SM02,4.3 out of 5 stars,167,£35.58,£50.30,(29% off)
Noise,"Noise Quad Call 1.81"" Display, Bluetooth Calling Smart Watch, AI Voice Assistance, 160+Hrs Battery Life, Metallic Build, in-Built Games, 100 Sports Modes, 100+ Watch Faces (Elite Black)",3.9 out of 5 stars,621,£15.19,£66.49,(77% off)
Sonata,Analog White Dial Men's Watch NM77049YM03/NN77049YM03,4.1 out of 5 stars,"1,302",£8.07,na,na
BENYAR,"Men's Luxury Chronograph Watch – Business, Casual | Quartz Movement with Date Display | Stylish Wristwatch | Gift for Men",4.1 out of 5 stars,"1,188",£27.45,£42.66,(36% off)
Matrix,"Black, Blue, White Dial, Day & Date Functioning, Stainless Steel Strap Analog Watch for Men & Women",3.6 out of 5 stars,964,£2.83,£23.74,(88% off)
Carlington,"Endurance Series Analog-Digital Sports Watches for Men and Boys with Alarm, Stopwatch, Backlit Display, Dualtime, Silicone Rubber Strap, Water & Shock Resiatant - CT_9105",4.0 out of 5 stars,285,£11.39,£66.49,(83% off)
Fastrack,Analog Silver Men Watch 3229SM03 / 3229SM03,4.3 out of 5 stars,845,£16.53,£21.80,(24% off)
Fastrack,Analog Brown Dial Men's Watch-FV30001QM03W,5.0 out of 5 stars,3,£17.97,£25.70,(30% off)
OLEVS,Men's Business Watch Gold Blue with Large Easy-Read Analog Quartz Date Display Luxury Stainless Steel Band Waterproof Luminous Hands,3.6 out of 5 stars,"1,948",£32.48,£37.05,(12% off)
Titan,Infinity Display Quartz Chronograph with Date Silver Dial Dark Teal Green Leather Strap Watch for Men - NT90146SL01,4.4 out of 5 stars,65,£68.35,£85.45,(20% off)
Noise,"Noise Halo Plus Elite Edition Smartwatch with 1.46"" Super AMOLED Display, Stainless Steel Finish Metallic Straps, 4-Stage Sleep Tracker, Smart Watch for Men and Women (Elite Silver)",4.2 out of 5 stars,"6,075",£33.24,£85.49,(61% off)
Fastrack,Vyb Challenger Quartz Analog Black Dial Watch for Men,4.6 out of 5 stars,5,£19.43,£27.79,(30% off)
boAt,"boAt Storm Call 3 w/TBT Navigation, Daily Activity Tracker, DIY Watch Face Studio,700+ Active Modes, 1.83"" (4.6 cm) HD Display Fitness Smart Watch for Men & Women(Active Black)",4.0 out of 5 stars,"33,295",£13.29,£80.27,(83% off)
Fastrack,Men Fleek Quartz Multifunction Green Dial Leather Strap Watch for Guys-3270SL03/NT3270SL03,3.6 out of 5 stars,12,£45.27,£50.30,(10% off)
TIMEX,"Leather Classics Men's Quartz Analog Champagne Dial Round Case 3 Hands Function Watch -A301, Dial_Gold, Band_Black",4.1 out of 5 stars,433,£8.30,£8.50,(2% off)
Fastrack,Urban Camo Black Dial Copper Brown Stainless Steel Watch for Guys - NT3295QM01,4.6 out of 5 stars,33,£31.59,£35.10,(10% off)
Fossil,"Machine Brown Automatic Leather Watch Me3254 - Analog, Men",5.0 out of 5 stars,7,£199.45,na,na
Noise,"Noise Pulse 2 Max 1.85"" Display, Bluetooth Calling Smart Watch, 10 Days Battery, 550 NITS Brightness, Smart DND, 100 Sports Modes, Smartwatch for Men and Women (Deep Wine)",4.0 out of 5 stars,"17,624",£13.29,£56.99,(77% off)
TIMEWEAR,Analog New Track Day Date Functioning Leather Strap Watch for Men,3.6 out of 5 stars,592,£3.60,£14.24,(75% off)
Titan,Neo Iv Analog Black Dial Men's Watch NM1805NL01/NN1805NL01/NP1805NL01,4.4 out of 5 stars,459,£52.20,na,na
